iter	Passed	Remaining
0	4563	2277169
1	8023	1997748
2	11595	1921059
3	15084	1870468
4	18512	1832710
5	22024	1813325
6	25687	1809098
7	29383	1807097
8	32991	1799847
9	37344	1829895
10	40985	1821992
11	44927	1827066
12	48924	1832776
13	52897	1836300
14	57066	1845159
15	61390	1857051
16	65528	1861790
17	69931	1872611
18	73929	1871589
19	77902	1869648
20	81813	1866138
21	85907	1866538
22	92616	1920782
23	98767	1958897
24	104523	1985952
25	110246	2009876
26	115902	2030437
27	121362	2045833
28	127136	2064869
29	133214	2087021
30	139069	2103985
31	144857	2118534
32	150555	2130582
33	156130	2139910
34	160188	2128220
35	163765	2110761
36	182209	2280075
37	190521	2316342
38	198224	2343110
39	203392	2339019
40	210126	2352387
41	215193	2346633
42	222399	2363641
43	226781	2350279
44	230488	2330498
45	234325	2312694
46	242177	2334175
47	245965	2316170
48	249391	2295420
49	252665	2273987
50	255875	2252711
51	259410	2234920
52	262633	2215037
53	266046	2197343
54	269507	2180557
55	272788	2162819
56	275859	2143960
57	279133	2127187
58	282354	2110480
59	285696	2095104
60	289022	2080014
61	292168	2064027
62	295337	2048613
63	298627	2034397
64	303245	2029410
65	307935	2024911
